BlaI	BlaZ	CHIPS	Cna	EdinB	EtD	Fib	GapA	Hla	Hld	HlgA	HlgB	HlgC	IsaB	KatA	LukD	LukE	LukG	LukH	PBP2A	Nuc	PSMa1	PSMa4	LukF	LukS	Sak	SarA	Sbi	SCIN	SdrD	SEA	SEC	Spa	SplB	SspA_V8	ScpA	TSST1
0,12	0,01	0	0,05	0	0	0,06	0,22	0	6,9	0,01	0	0,04	0,02	0,02	0	0	0,05	0,01	0	0,2	1,25	0	0,14	0,09	0,03	0,11	0,12	0,16	0,02	0,02	0	0,06	0	0,01	0	0
0	0,05	0,36	0	0	0	0,2	0,35	0,57	61,03	0,04	0	0,02	0,02	0,02	0	0	0,8	0,16	0,03	0,7	8,4	0,04	13,43	8,75	0,06	0,18	0,24	0,41	0	0	0	0,05	0,18	0,03	0,39	0
0,11	0,01	0	0	0,4	0,33	0,14	0,38	0,24	22,64	0,02	0,01	0,24	0,01	0,03	0	0	0,18	0,04	0,01	0,46	3,12	0,02	1,09	0,77	0,03	0,16	0,14	0,28	0,04	0	0	0,03	0,01	0,02	0,13	0
0	0	0,43	0	0	0	0,33	0,39	0,91	22,02	0	0	0,15	0,19	0,03	0	0	0,24	0,04	0	0,13	1,43	0	0	0	0,04	0,22	0,22	0,71	0,23	0	0	0,28	0	0	0,09	0
0,13	0,01	0	0	0	0	0,43	0,33	0,13	9,42	0	0	0	0,09	0,03	0	0	0,07	0,02	0	0,18	1,91	0,01	0	0	0,02	0,17	0,25	0,27	0,26	0	0	0,1	0,01	0,01	0	0
0,11	0,02	0	0	0,55	0,57	0,15	0,33	0,29	36,62	0,02	0,01	0,52	0,04	0,01	0	0	0,23	0,06	0	0,6	5,23	0,03	1,79	1,21	0,05	0,17	0,13	0,33	0,03	0	0	0,03	0,02	0,02	0,23	0
0,1	0,01	0,06	0,06	0	0	0,06	0,17	0,39	35,23	0	0	0,18	0	0,01	0	0	0	0	0	0,45	5,34	0,02	1,19	0,93	0	0,09	0,26	0,33	0,09	0	0	0,11	0	0,03	0	0
0,16	0,02	0,11	0	0	0	0	0,35	0,4	86,47	0	0	0	0	0,04	0	0	0	0,01	0	0,04	29,1	0,09	0	0	0,03	0,44	0,13	0,3	0	0	0,67	0	0	0,04	0,29	0
0,09	0,02	0	0	0	0	1,73	0,34	0,29	12,34	0,07	0,01	0,38	0,1	0,02	0	0	0,64	0,1	0	0,42	1,02	0	0	0	0	0,23	5,68	0	0,11	0	0	0,74	0	0	0	0
0,13	0,03	0,19	0	0,67	0	0,1	0,28	0	35,65	0,07	0,01	1,12	0,02	0,01	0	0	0,5	0,12	0	0,38	0,74	0	0	0	0,06	0,26	0,25	0	0,14	0	0	0	0,25	0,02	0	0
0,12	0,02	0,11	0	0	0	0,28	0,34	0,47	19,39	0,02	0	0,21	0,04	0,03	0	0	0,27	0,05	0	0,79	2,25	0,01	0	0	0	0,22	0,24	0,62	0,11	0	0	0,27	0,08	0,02	0,17	0
0	0	0,11	0	0	0	0,75	0,23	0,04	3,43	0,01	0	0,05	0,05	0,01	0	0	0,12	0,03	0	0,18	2,31	0,01	0	0	0	0,23	0,41	0,48	0,1	0	0	0,11	0,01	0,01	0	0
0	0,02	0	0	0	0	0,21	1,35	2,98	53,74	0,02	0,04	0,06	0	0	0	0	0,09	0,01	0	0	0	0,04	0,05	0,04	0,2	0,01	0,61	1,05	1,49	0	0	1,17	0	0	0	0
0	0	0	0,04	0	0	0,11	0,51	0,05	1,01	0,01	0	0,05	0,03	0,02	0	0	0,06	0,01	0	0,47	0	0	0	0	0	0,17	0,2	0,45	0,03	0	0,13	0,17	0	0	0	0
0	0,02	0,43	0,04	0	0	0,11	0,93	1,56	83,14	0,03	0,02	1,1	0	0,14	0	0	0	0,02	0	1,49	18,12	0,07	0	0	0	0,4	0,2	0,87	0	0	0	0	0	0,24	0,39	0
0,14	0,01	0,19	0	0	0	0,2	0,71	0,34	17,57	0,02	0	0,19	0,05	0,03	0	0	0,24	0,03	0	0,77	1,35	0,01	1,16	1,47	0	0,19	0,19	0,39	0,05	0,01	0	0,18	0,02	0,02	0,11	0
0,24	0,03	0	0,02	0	0	0,11	0,63	0,64	67,81	0,02	0,01	0,74	0,07	0,06	0,01	0	1,09	0,12	0	0,88	35,93	0,1	3,61	3,65	0,13	0,26	0,47	0,62	0,02	0	0	0	0	0,12	0	0
