Spa	Repeats number
-4,058893689	5
-4,321928095	5
-5,058893689	5
-1,836501268	5
-3,321928095	3
-5,058893689	4
-3,184424571	5
-7,64385619	5
-0,434402824	5
-7,64385619	5
-1,888968688	5
-3,184424571	5
0,22650853	5
-2,556393349	4
-7,64385619	5
-2,473931188	5
-7,64385619	4
-2,473931188	5
-7,64385619	4
-2,473931188	5
-5,64385619	5
-7,64385619	5
-7,64385619	5
-1,64385619	5
1,304511042	5
-0,184424571	5
-1,785875195	5
-7,64385619	4
-4,321928095	4
-6,64385619	5
-7,64385619	5
-1,64385619	5
-5,058893689	5
-3,64385619	5
-5,058893689	4
-7,64385619	5
-1,64385619	5
-4,058893689	5
-7,64385619	4
-7,64385619	5
-7,64385619	5
-7,64385619	5
-4,64385619	5
-6,64385619	4
-0,862496476	5
-7,64385619	4
-7,64385619	5
-3,184424571	5
-4,64385619	5
-7,64385619	4
-4,058893689	3
-3,64385619	5
-3,473931188	5
-3,473931188	5
-3,64385619	5
-1,556393349	5
-2,473931188	5
-2,395928676	3
-4,64385619	5
-7,64385619	5
-2,836501268	5
-5,058893689	5
-1,556393349	5
-7,64385619	4
-7,64385619	5
-7,64385619	3
-3,836501268	5
-7,64385619	4
-1,434402824	5
-7,64385619	5
-7,64385619	5
-4,64385619	5
-7,64385619	5
-2,251538767	2
-7,64385619	5
-7,64385619	4
-4,058893689	5
-7,64385619	5
-7,64385619	5
-6,64385619	5
-3,473931188	5
-7,64385619	5
-5,64385619	5
-7,64385619	5
-3,058893689	5
-7,64385619	5
-7,64385619	5
-4,058893689	4
-2,836501268	5
-7,64385619	5
-6,64385619	5
-5,64385619	5
-7,64385619	5
-7,64385619	5
-5,64385619	5
-7,64385619	5
-7,64385619	5
-1,785875195	5
-2,943416472	3
-7,64385619	5
-3,836501268	5
-7,64385619	5
-7,64385619	5
-7,64385619	5
-2,736965594	5
-3,321928095	4
-3,184424571	5
-5,64385619	4
-7,64385619	4
-5,64385619	5
-7,64385619	5
-7,64385619	5
-4,321928095	5
-7,64385619	4
-3,836501268	5
-7,64385619	5
-4,64385619	5
-2,64385619	5
-4,321928095	5
-4,058893689	4
-6,64385619	5
-7,64385619	5
-7,64385619	5
-7,64385619	5
-2,736965594	5
-7,64385619	5
-1,836501268	5
-7,64385619	4
-3,321928095	5
-5,058893689	5
-7,64385619	5
-6,64385619	5
-1,64385619	5
-7,64385619	5
-7,64385619	5
-5,058893689	5
